Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
christoph klarer,Darmstadt 98,2000.0,30,28,2354,2,2,9,0,9,64,11,2023-2024,bundesliga
tim kleindienst,Heidenheim,1995.0,33,33,2869,12,3,6,0,40,73,178,2023-2024,bundesliga
lukas klostermann,RB Leipzig,1996.0,25,16,1436,1,0,3,0,14,90,13,2023-2024,bundesliga
ansgar knauff,Eint Frankfurt,2002.0,31,24,2109,7,2,7,1,77,57,164,2023-2024,bundesliga
robin knoche,Union Berlin,1992.0,24,20,1917,1,0,1,0,2,71,2,2023-2024,bundesliga
gregor kobel,Dortmund,1997.0,27,27,2365,0,0,1,0,0,0,0,2023-2024,bundesliga
robin koch,Eint Frankfurt,1996.0,31,31,2738,2,0,10,0,14,116,3,2023-2024,bundesliga
dominik kohr,Mainz 05,1994.0,31,27,2184,1,0,15,1,19,99,26,2023-2024,bundesliga
randal kolo muani,Eint Frankfurt,1998.0,2,2,153,1,0,0,0,6,3,9,2023-2024,bundesliga
mert komur,Augsburg,2005.0,4,1,118,1,0,0,0,7,4,9,2023-2024,bundesliga
manu kone,Gladbach,2001.0,22,18,1561,1,0,4,1,42,70,56,2023-2024,bundesliga
odilon kossounou,Leverkusen,2001.0,22,21,1811,1,0,3,0,48,141,23,2023-2024,bundesliga
tomas koubek,Augsburg,1992.0,3,3,270,0,0,0,0,0,0,0,2023-2024,bundesliga
matej kovar,Leverkusen,2000.0,1,1,90,0,0,0,0,0,0,0,2023-2024,bundesliga
dawid kownacki,Werder Bremen,1997.0,22,3,380,0,0,0,0,5,10,26,2023-2024,bundesliga
alex kral,Union Berlin,1998.0,24,13,1370,0,0,2,0,15,44,41,2023-2024,bundesliga
andrej kramaric,Hoffenheim,1991.0,30,25,2199,15,6,4,0,71,119,175,2023-2024,bundesliga
christoph kramer,Gladbach,1991.0,14,1,249,0,0,4,0,10,17,8,2023-2024,bundesliga
frans kratzig,Bayern Munich,2003.0,4,0,56,0,0,0,0,0,7,7,2023-2024,bundesliga
tom krau,Mainz 05,2001.0,29,13,1346,1,2,5,0,12,68,29,2023-2024,bundesliga
lukas kubler,Freiburg,1992.0,26,22,1847,1,0,7,0,13,70,32,2023-2024,bundesliga
mahmut kucuksahin,Augsburg,2004.0,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
christian kuhlwetter,Heidenheim,1996.0,1,0,8,0,1,0,0,1,0,0,2023-2024,bundesliga
moritzbroni kwarteng,Bochum,1998.0,11,2,281,0,1,1,1,8,6,24,2023-2024,bundesliga
maxence lacroix,Wolfsburg,2000.0,28,27,2362,4,1,5,3,5,79,5,2023-2024,bundesliga
aissa laidouni,Union Berlin,1996.0,23,10,1071,0,3,2,0,24,56,41,2023-2024,bundesliga
konrad laimer,Bayern Munich,1997.0,29,18,1772,0,3,3,0,62,127,98,2023-2024,bundesliga
stefan lainer,Gladbach,1992.0,15,8,751,0,1,2,0,15,37,31,2023-2024,bundesliga
hugo larsson,Eint Frankfurt,2004.0,29,21,1886,2,1,1,0,26,68,42,2023-2024,bundesliga
diogo leite,Union Berlin,1999.0,32,31,2702,0,0,6,0,14,121,4,2023-2024,bundesliga
