Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
benjamin tetteh,Metz,11,68,34,7,112,9,44.4,5,55.6,118,4,1,15,2,2023-2024,ligue-1
teddy teuma,Reims,261,967,558,32,1760,47,57.4,16,34.0,2853,38,4,43,17,2023-2024,ligue-1
arthur theate,Rennes,810,949,135,28,1882,14,50.0,6,42.9,5220,36,3,16,3,2023-2024,ligue-1
adrien thomasson,Lens,107,330,393,75,822,14,64.3,5,35.7,1117,23,7,29,22,2023-2024,ligue-1
khephren thuram,Nice,296,842,284,43,1397,62,56.5,25,40.3,3321,67,10,37,23,2023-2024,ligue-1
cheikh tidiane sabaly,Metz,117,258,215,45,571,69,44.9,36,52.2,1300,32,14,34,19,2023-2024,ligue-1
jeanclair todibo,Nice,1258,1440,99,16,2779,27,59.3,9,33.3,6410,19,1,19,9,2023-2024,ligue-1
corentin tolisso,Lyon,314,794,351,39,1450,9,55.6,4,44.4,2509,43,2,26,22,2023-2024,ligue-1
abdoulaye toure,Le Havre,385,946,194,17,1502,42,69.0,12,28.6,2425,37,2,37,28,2023-2024,ligue-1
souleymane toure,Lorient,677,727,140,40,1538,14,78.6,3,21.4,3186,21,4,17,12,2023-2024,ligue-1
benie traore,Nantes,19,91,110,23,212,25,52.0,11,44.0,585,15,7,19,9,2023-2024,ligue-1
daouda traore,Nice,0,6,5,1,11,1,0.0,1,100.0,23,0,0,0,0,2023-2024,ligue-1
ismael traore,Metz,573,399,22,12,986,6,66.7,2,33.3,1079,2,0,9,3,2023-2024,ligue-1
adrien truffert,Rennes,388,665,545,47,1586,56,42.9,28,50.0,2732,61,8,34,24,2023-2024,ligue-1
matthieu udol,Metz,607,747,319,38,1655,40,50.0,18,45.0,2508,40,2,27,11,2023-2024,ligue-1
manuel ugarte ribeiro,Paris S-G,327,987,307,12,1597,40,52.5,15,37.5,2111,35,4,25,24,2023-2024,ligue-1
samuel umtiti,Lille,79,99,0,0,178,1,0.0,1,100.0,310,0,0,0,0,2023-2024,ligue-1
kevin van den kerkhof,Metz,156,274,381,42,782,72,43.1,40,55.6,1886,62,11,52,35,2023-2024,ligue-1
vanderson,Monaco,253,614,397,42,1247,38,44.7,21,55.3,1728,32,6,26,13,2023-2024,ligue-1
jordan veretout,Marseille,221,802,515,34,1516,21,42.9,12,57.1,2741,54,11,24,23,2023-2024,ligue-1
alan virginius,Lille,2,10,9,2,21,4,50.0,2,50.0,54,0,1,1,0,2023-2024,ligue-1
alan virginius,Clermont Foot,38,127,138,40,300,20,50.0,10,50.0,806,11,10,24,11,2023-2024,ligue-1
vitinha,Marseille,36,128,209,72,366,34,50.0,17,50.0,543,13,9,35,17,2023-2024,ligue-1
vitinha,Paris S-G,334,1093,685,50,2094,52,61.5,19,36.5,3462,68,11,31,23,2023-2024,ligue-1
elye wahi,Montpellier,0,5,6,1,10,1,100.0,0,0.0,17,1,1,3,0,2023-2024,ligue-1
