Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
james tarkowski,Everton,15,4,0.07,1.3,1.3,0.09,-0.3,2024-2025,premier-league
marcus tavernier,Bournemouth,57,17,0.05,5.5,5.5,0.1,-2.5,2024-2025,premier-league
charlie taylor,Southampton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jack taylor,Ipswich Town,19,4,0.05,0.7,0.7,0.04,0.3,2024-2025,premier-league
mathys tel,Tottenham,22,8,0.05,3.0,2.2,0.1,-1.0,2024-2025,premier-league
kenny tete,Fulham,24,2,0.0,1.4,1.4,0.06,-1.4,2024-2025,premier-league
thiago,Brentford,2,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,premier-league
luke thomas,Leicester City,5,0,0.0,0.4,0.4,0.07,-0.4,2024-2025,premier-league
youri tielemans,Aston Villa,40,12,0.08,3.3,2.5,0.06,-0.3,2024-2025,premier-league
kieran tierney,Arsenal,2,1,0.5,0.4,0.4,0.18,0.6,2024-2025,premier-league
jurrien timber,Arsenal,14,4,0.07,1.2,1.2,0.09,-0.2,2024-2025,premier-league
jeanclair todibo,West Ham,5,0,0.0,0.4,0.4,0.07,-0.4,2024-2025,premier-league
harry toffolo,Nott'ham Forest,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,premier-league
takehiro tomiyasu,Arsenal,1,0,0.0,0.2,0.2,0.18,-0.2,2024-2025,premier-league
sandro tonali,Newcastle Utd,35,12,0.11,4.4,4.4,0.13,-0.4,2024-2025,premier-league
pau torres,Aston Villa,8,2,0.0,0.5,0.5,0.06,-0.5,2024-2025,premier-league
conor townsend,Ipswich Town,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,premier-league
adama traore,Fulham,39,12,0.05,4.0,4.0,0.1,-2.0,2024-2025,premier-league
boubacar traore,Wolves,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
mark travers,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
ryan trevitt,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
kieran trippier,Newcastle Utd,4,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,premier-league
leandro trossard,Arsenal,72,21,0.11,7.2,7.2,0.1,0.8,2024-2025,premier-league
kostas tsimikas,Liverpool,4,2,0.0,0.4,0.4,0.1,-0.4,2024-2025,premier-league
axel tuanzebe,Ipswich Town,4,0,0.0,0.2,0.2,0.05,-0.2,2024-2025,premier-league
destiny udogie,Tottenham,5,1,0.0,0.3,0.3,0.06,-0.3,2024-2025,premier-league
manuel ugarte ribeiro,Manchester Utd,19,4,0.05,1.0,1.0,0.05,0.0,2024-2025,premier-league
