Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
gerard gumbau,Rayo Vallecano,8,7,2,46.7,7,12,5,13,4,9,13,0,2024-2025,laliga
jon guridi,Alavés,7,26,7,40.9,18,22,14,19,1,18,16,0,2024-2025,laliga
gorka guruzeta,Athletic Club,1,13,2,22.6,7,8,9,28,4,24,23,0,2024-2025,laliga
miguel gutierrez,Girona,18,16,3,45.9,17,24,16,17,7,10,34,3,2024-2025,laliga
munir el haddadi,Leganés,5,4,3,25.0,3,9,1,8,1,7,1,1,2024-2025,laliga
sebastien haller,Leganés,1,0,1,50.0,1,0,0,1,0,1,7,0,2024-2025,laliga
henrique,Valladolid,3,2,1,25.0,1,2,3,5,0,5,12,0,2024-2025,laliga
javi hernandez,Leganés,16,7,3,37.0,17,15,23,25,5,20,98,0,2024-2025,laliga
aridane hernandez,Rayo Vallecano,9,4,0,75.0,6,11,6,10,8,2,99,2,2024-2025,laliga
jorge herrando,Osasuna,9,5,3,60.0,9,11,12,20,14,6,65,2,2024-2025,laliga
ander herrera,Athletic Club,1,7,0,50.0,3,4,2,1,0,1,10,0,2024-2025,laliga
sergio herrera,Osasuna,2,0,0,33.3,2,1,0,1,0,1,29,1,2024-2025,laliga
yangel herrera,Girona,31,27,8,50.8,30,39,31,24,8,16,50,2,2024-2025,laliga
juan herzog,Las Palmas,12,0,0,56.3,9,12,18,17,11,6,86,0,2024-2025,laliga
omar el hilali,Espanyol,81,24,6,67.4,64,79,46,53,13,40,145,2,2024-2025,laliga
roger hinojo,Espanyol,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,laliga
dinko horkas,Las Palmas,0,0,0,,0,0,0,0,0,0,9,1,2024-2025,laliga
pablo ibanez,Osasuna,7,12,1,25.0,10,10,18,20,7,13,21,0,2024-2025,laliga
stanis idumbo,Sevilla,3,4,2,60.0,3,5,4,3,1,2,2,0,2024-2025,laliga
iglesias,Getafe,42,33,6,51.1,46,47,50,47,8,39,133,1,2024-2025,laliga
borja iglesias,Celta Vigo,2,5,3,26.7,4,9,7,9,2,7,10,0,2024-2025,laliga
kelechi iheanacho,Sevilla,0,1,0,33.3,1,0,0,0,0,0,1,0,2024-2025,laliga
isco,Betis,3,13,4,25.0,7,13,11,10,0,10,7,0,2024-2025,laliga
diego iturralde,Sevilla,0,0,0,,0,0,1,0,0,0,1,0,2024-2025,laliga
ivan jaime pajuelo,Valencia,2,3,3,80.0,4,5,2,2,0,2,0,0,2024-2025,laliga
karl jakob hein,Valladolid,0,0,0,0.0,0,0,0,0,0,0,19,2,2024-2025,laliga
adnan januzaj,Las Palmas,1,6,3,55.6,5,6,2,6,0,6,3,0,2024-2025,laliga
