Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
niklas sule,dortmund,2023-2024,bundesliga,Centre-Back,1514.0,23.0,14.0,15000000.0,0.23456789867501857,0.020399999999999998,0.21416789867501856,Centre-Back
unai garcia,osasuna,2023-2024,laliga,Centre-Back,560.0,9.0,6.0,1200000.0,0.10565075046288522,0.0737,0.031950750462885216,Centre-Back
jakub kiwior,arsenal,2023-2024,premier-league,Centre-Back,946.0,20.0,11.0,30000000.0,0.16504002504804333,0.028900000000000002,0.13614002504804332,Centre-Back
sepp van den berg,mainz 05,2023-2024,bundesliga,Centre-Back,2839.0,33.0,31.0,12000000.0,0.22708433152667196,0.0276,0.19948433152667194,Centre-Back
castello lukeba,rb leipzig,2023-2024,bundesliga,Centre-Back,2191.0,32.0,24.0,40000000.0,0.22426206474128393,0.0265,0.19776206474128394,Centre-Back
chris smalling,roma,2023-2024,serie-a,Centre-Back,390.0,8.0,4.0,2500000.0,0.15631383065134613,0.0115,0.14481383065134612,Centre-Back
denis vavro,wolfsburg,2024-2025,bundesliga,Centre-Back,2461.0,29.0,27.0,7000000.0,0.25114811569403583,0.016300000000000002,0.23484811569403582,Centre-Back
michael keane,everton,2024-2025,premier-league,Centre-Back,1049.0,14.0,11.0,5000000.0,0.1513381711489281,0.0342,0.1171381711489281,Centre-Back
jacobo ramon,real madrid,2024-2025,laliga,Centre-Back,204.0,3.0,2.0,1000000.0,0.10946194742239601,0.08360000000000001,0.025861947422396003,Centre-Back
calvin bassey,fulham,2024-2025,premier-league,Centre-Back,3074.0,35.0,34.0,25000000.0,0.2803960893917374,0.039700000000000006,0.24069608939173737,Centre-Back
jon pacheco,real sociedad,2024-2025,laliga,Centre-Back,854.0,14.0,9.0,6000000.0,0.16469367640399094,0.043300000000000005,0.12139367640399093,Centre-Back
nabil aberdin,getafe,2024-2025,laliga,Centre-Back,263.0,7.0,4.0,700000.0,0.11962744454830118,0.0444,0.07522744454830119,Centre-Back
aritz elustondo,real sociedad,2024-2025,laliga,Centre-Back,1457.0,22.0,16.0,3000000.0,0.18290658056718004,0.040999999999999995,0.14190658056718003,Centre-Back
marcos senesi,bournemouth,2024-2025,premier-league,Centre-Back,1106.0,17.0,13.0,22000000.0,0.18229043015034188,0.04569999999999999,0.1365904301503419,Centre-Back
joachim andersen,fulham,2024-2025,premier-league,Centre-Back,2583.0,29.0,29.0,27000000.0,0.26673307088810816,0.0212,0.24553307088810816,Centre-Back
jonny evans,manchester utd,2024-2025,premier-league,Centre-Back,315.0,7.0,3.0,1000000.0,0.15272377989523797,0.0259,0.12682377989523796,Centre-Back
matteo palma,udinese,2024-2025,serie-a,Centre-Back,5.0,1.0,0.0,1000000.0,0.2589921128123996,0.18,0.0789921128123996,Centre-Back
willy boly,nott'ham forest,2024-2025,premier-league,Centre-Back,150.0,6.0,1.0,1500000.0,0.1632710923200525,0.03,0.1332710923200525,Centre-Back
adam masina,torino,2024-2025,serie-a,Centre-Back,1919.0,28.0,20.0,1500000.0,0.25844905123595785,0.0354,0.22304905123595786,Centre-Back
marcao,sevilla,2024-2025,laliga,Centre-Back,552.0,12.0,6.0,2000000.0,0.15539147718160584,0.0844,0.07099147718160584,Centre-Back
martin valjent,mallorca,2024-2025,laliga,Centre-Back,2763.0,31.0,31.0,6000000.0,0.20084759593992757,0.015099999999999999,0.18574759593992757,Centre-Back
willy kambwala,villarreal,2024-2025,laliga,Centre-Back,1117.0,19.0,12.0,4000000.0,0.14586143068748358,0.0337,0.11216143068748358,Centre-Back
tim siersleben,heidenheim,2024-2025,bundesliga,Centre-Back,1182.0,16.0,14.0,2000000.0,0.1609156591140874,0.031000000000000003,0.1299156591140874,Centre-Back
anthony rouault,stuttgart,2024-2025,bundesliga,Centre-Back,1212.0,18.0,14.0,10000000.0,0.193921445671903,0.028,0.165921445671903,Centre-Back
sebastian walukiewicz,torino,2024-2025,serie-a,Centre-Back,1661.0,29.0,20.0,4500000.0,0.24280150837220102,0.03590000000000001,0.206901508372201,Centre-Back
ben godfrey,atalanta,2024-2025,serie-a,Centre-Back,23.0,1.0,0.0,6000000.0,0.02303683679249509,0.0782,-0.05516316320750492,Centre-Back
victor nelsson,roma,2024-2025,serie-a,Centre-Back,187.0,4.0,1.0,10000000.0,0.14076989728230646,0.028900000000000002,0.11186989728230645,Centre-Back
diego carlos,aston villa,2024-2025,premier-league,Centre-Back,830.0,10.0,8.0,9500000.0,0.13875749149837052,0.0317,0.10705749149837052,Centre-Back
stefan bell,mainz 05,2024-2025,bundesliga,Centre-Back,1436.0,18.0,15.0,800000.0,0.19477137355700888,0.0386,0.15617137355700889,Centre-Back
sebastian otoa,genoa,2024-2025,serie-a,Centre-Back,179.0,3.0,3.0,2000000.0,0.12470541320038339,0.11019999999999999,0.014505413200383399,Centre-Back
nobel mendy,betis,2024-2025,laliga,Centre-Back,108.0,2.0,1.0,4000000.0,0.19112718897713044,0.083,0.10812718897713043,Centre-Back
trevoh chalobah,chelsea,2024-2025,premier-league,Centre-Back,910.0,13.0,11.0,25000000.0,0.16934524360422987,0.0269,0.14244524360422986,Centre-Back
igor,brighton,2024-2025,premier-league,Centre-Back,961.0,13.0,10.0,20000000.0,0.15015694628795312,0.0249,0.1252569462879531,Centre-Back
jeanclair todibo,west ham,2024-2025,premier-league,Centre-Back,1825.0,27.0,20.0,25000000.0,0.23271334719843562,0.0376,0.19511334719843562,Centre-Back
renato veiga,juventus,2024-2025,serie-a,Centre-Back,1093.0,13.0,12.0,25000000.0,0.18513021838902127,0.0138,0.17133021838902127,Centre-Back
siebe van der heyden,st. pauli,2024-2025,bundesliga,Centre-Back,872.0,13.0,11.0,2500000.0,0.17917558455232002,0.0606,0.11857558455232002,Centre-Back
matthias ginter,freiburg,2024-2025,bundesliga,Centre-Back,2561.0,32.0,28.0,7000000.0,0.21023466702278787,0.022499999999999996,0.18773466702278788,Centre-Back
alessandro circati,parma,2024-2025,serie-a,Centre-Back,540.0,6.0,6.0,8000000.0,0.1447277850724932,0.033600000000000005,0.1111277850724932,Centre-Back
junior firpo,leeds united,2022-2023,premier-league,Left-Back,1368.0,19.0,14.0,10000000.0,0.18029550533785343,0.0522,0.12809550533785344,Left-Back
luca pellegrini,lazio,2022-2023,serie-a,Left-Back,180.0,7.0,1.0,7000000.0,0.2291972519641651,0.11000000000000001,0.11919725196416509,Left-Back
harry toffolo,nott'ham forest,2022-2023,premier-league,Left-Back,940.0,19.0,9.0,3500000.0,0.16515201122308334,0.0363,0.12885201122308335,Left-Back
borna sosa,stuttgart,2022-2023,bundesliga,Left-Back,1955.0,25.0,22.0,12000000.0,0.2872153000250281,0.0364,0.2508153000250281,Left-Back
josko gvardiol,rb leipzig,2022-2023,bundesliga,Left-Back,2170.0,30.0,24.0,75000000.0,0.22824798656483275,0.021400000000000002,0.20684798656483275,Left-Back
ludwig augustinsson,mallorca,2022-2023,laliga,Left-Back,132.0,4.0,1.0,2500000.0,0.13795216116561926,0.0068000000000000005,0.13115216116561926,Left-Back
felix agu,werder bremen,2022-2023,bundesliga,Left-Back,49.0,3.0,0.0,1000000.0,0.12950895144244914,0.1469,-0.01739104855755086,Left-Back
abner,betis,2022-2023,laliga,Left-Back,607.0,13.0,7.0,7000000.0,0.16426542450102952,0.0475,0.11676542450102952,Left-Back
theo hernandez,milan,2022-2023,serie-a,Left-Back,2771.0,32.0,32.0,60000000.0,0.25188649197417395,0.0428,0.20908649197417395,Left-Back
aleksa terzic,fiorentina,2022-2023,serie-a,Left-Back,935.0,22.0,8.0,2000000.0,0.23130859873173576,0.036500000000000005,0.19480859873173575,Left-Back
marcos acuna,sevilla,2022-2023,laliga,Left-Back,1912.0,30.0,21.0,10000000.0,0.27315217562060107,0.0757,0.19745217562060108,Left-Back
matteo ruggeri,atalanta,2023-2024,serie-a,Left-Back,2449.0,34.0,28.0,20000000.0,0.2951069591459013,0.0291,0.2660069591459013,Left-Back
maximilian mittelstadt,stuttgart,2023-2024,bundesliga,Left-Back,2103.0,31.0,23.0,17000000.0,0.41378849569501347,0.0491,0.3646884956950135,Left-Back
phillipp mwene,mainz 05,2023-2024,bundesliga,Left-Back,1996.0,23.0,23.0,1800000.0,0.23897355073675502,0.05,0.18897355073675504,Left-Back
hassane kamara,udinese,2023-2024,serie-a,Left-Back,2225.0,35.0,27.0,4500000.0,0.27384614966230386,0.042499999999999996,0.23134614966230388,Left-Back
josh doig,sassuolo,2023-2024,serie-a,Left-Back,1343.0,16.0,15.0,6000000.0,0.26981283475449264,0.0471,0.22271283475449263,Left-Back
adria pedrosa,sevilla,2023-2024,laliga,Left-Back,1753.0,31.0,15.0,6000000.0,0.29942968806127535,0.046200000000000005,0.2532296880612753,Left-Back
javi galan,real sociedad,2023-2024,laliga,Left-Back,1075.0,14.0,13.0,7000000.0,0.28709847396017396,0.0609,0.22619847396017395,Left-Back
alfonso pedraza,villarreal,2023-2024,laliga,Left-Back,1116.0,19.0,14.0,5000000.0,0.3104821615169039,0.0418,0.2686821615169039,Left-Back
fran garcia,real madrid,2023-2024,laliga,Left-Back,1398.0,25.0,15.0,15000000.0,0.280243499191573,0.037899999999999996,0.242343499191573,Left-Back
alex moreno,aston villa,2023-2024,premier-league,Left-Back,1031.0,21.0,11.0,13000000.0,0.24560540862914704,0.0373,0.20830540862914704,Left-Back
antonino gallo,lecce,2023-2024,serie-a,Left-Back,2490.0,35.0,30.0,4500000.0,0.34230049417283726,0.0246,0.31770049417283724,Left-Back
romain perraud,betis,2024-2025,laliga,Left-Back,2002.0,28.0,22.0,5000000.0,0.24391333543880347,0.0559,0.18801333543880347,Left-Back
david jurasek,hoffenheim,2024-2025,bundesliga,Left-Back,619.0,14.0,6.0,5000000.0,0.24702014657528787,0.0248,0.22222014657528788,Left-Back
anass salaheddine,roma,2024-2025,serie-a,Left-Back,152.0,3.0,2.0,8000000.0,0.20651728672574274,0.09440000000000001,0.11211728672574273,Left-Back
johan mojica,mallorca,2024-2025,laliga,Left-Back,2755.0,36.0,30.0,2000000.0,0.3257070430654748,0.0503,0.2754070430654748,Left-Back
tommaso augello,cagliari,2024-2025,serie-a,Left-Back,2713.0,38.0,30.0,1800000.0,0.31292300676359064,0.0325,0.28042300676359067,Left-Back
joakim mhle,wolfsburg,2024-2025,bundesliga,Left-Back,2188.0,28.0,25.0,14000000.0,0.2710608068808704,0.037,0.23406080688087041,Left-Back
miguel gutierrez,girona,2024-2025,laliga,Left-Back,2458.0,29.0,29.0,20000000.0,0.2769051637317887,0.052500000000000005,0.2244051637317887,Left-Back
toni lato,mallorca,2024-2025,laliga,Left-Back,621.0,14.0,7.0,1800000.0,0.21992217539420814,0.0501,0.16982217539420813,Left-Back
patrick dorgu,lecce,2024-2025,serie-a,Left-Back,1840.0,21.0,21.0,25000000.0,0.23005391788318547,0.07900000000000001,0.15105391788318545,Left-Back
reinildo mandava,atlético madrid,2024-2025,laliga,Left-Back,941.0,19.0,10.0,5000000.0,0.2060578121793958,0.0449,0.16115781217939582,Left-Back
fabiano parisi,fiorentina,2024-2025,serie-a,Left-Back,1049.0,25.0,11.0,6000000.0,0.19009756072371234,0.06430000000000001,0.12579756072371234,Left-Back
lewis hall,newcastle utd,2024-2025,premier-league,Left-Back,2189.0,27.0,24.0,32000000.0,0.29466196318611715,0.0433,0.25136196318611714,Left-Back
sanoussy ba,rb leipzig,2022-2023,bundesliga,Right-Back,1.0,1.0,0.0,500000.0,0.016202678571428573,0.0,0.016202678571428573,Right-Back
hugo novoa,rb leipzig,2022-2023,bundesliga,Right-Back,184.0,7.0,2.0,4300000.0,0.18194487903297588,0.10260000000000001,0.07934487903297587,Right-Back
noussair mazraoui,bayern munich,2022-2023,bundesliga,Right-Back,1075.0,19.0,11.0,28000000.0,0.28769387169892147,0.031,0.25669387169892144,Right-Back
davide calabria,milan,2022-2023,serie-a,Right-Back,1690.0,25.0,21.0,20000000.0,0.33735908242607077,0.033,0.3043590824260708,Right-Back
pedro porro,tottenham,2022-2023,premier-league,Right-Back,1131.0,15.0,13.0,40000000.0,0.3259158404326002,0.0366,0.28931584043260017,Right-Back
carmona,elche,2022-2023,laliga,Right-Back,589.0,9.0,8.0,4000000.0,0.19768472603121315,0.0973,0.10038472603121315,Right-Back
denzel dumfries,inter,2022-2023,serie-a,Right-Back,2218.0,34.0,25.0,28000000.0,0.277194665068159,0.049400000000000006,0.22779466506815899,Right-Back
nahuel molina,atlético madrid,2022-2023,laliga,Right-Back,2867.0,33.0,33.0,35000000.0,0.33297396202649443,0.0342,0.2987739620264944,Right-Back
rasmus kristensen,leeds united,2022-2023,premier-league,Right-Back,1960.0,26.0,21.0,13000000.0,0.2966219066324331,0.0215,0.2751219066324331,Right-Back
kilian fischer,wolfsburg,2022-2023,bundesliga,Right-Back,502.0,10.0,5.0,2000000.0,0.20609695185927235,0.035899999999999994,0.17019695185927236,Right-Back
takehiro tomiyasu,arsenal,2022-2023,premier-league,Right-Back,663.0,21.0,6.0,25000000.0,0.2591235249784674,0.043500000000000004,0.2156235249784674,Right-Back
ola aina,torino,2022-2023,serie-a,Right-Back,876.0,19.0,9.0,3500000.0,0.3160661221129311,0.0635,0.2525661221129311,Right-Back
lorenzo de silvestri,bologna,2022-2023,serie-a,Right-Back,672.0,15.0,6.0,400000.0,0.20439982249419167,0.0333,0.17109982249419167,Right-Back
luke ayling,leeds united,2022-2023,premier-league,Right-Back,2054.0,29.0,22.0,1800000.0,0.31887810054738386,0.035699999999999996,0.28317810054738385,Right-Back
joshua acheampong,chelsea,2023-2024,premier-league,Right-Back,6.0,1.0,0.0,300000.0,0.25871681508251154,0.0,0.25871681508251154,Right-Back
emil holm,atalanta,2023-2024,serie-a,Right-Back,947.0,22.0,12.0,12000000.0,0.344124645748945,0.0952,0.24892464574894502,Right-Back
emil krafth,newcastle utd,2023-2024,premier-league,Right-Back,913.0,17.0,8.0,2500000.0,0.2553664165544261,0.029800000000000004,0.2255664165544261,Right-Back
daniel munoz,crystal palace,2023-2024,premier-league,Right-Back,1439.0,16.0,16.0,18000000.0,0.3252621770535304,0.0482,0.27706217705353037,Right-Back
lukas kubler,freiburg,2023-2024,bundesliga,Right-Back,1847.0,26.0,22.0,2000000.0,0.31334001287295216,0.031200000000000006,0.28214001287295215,Right-Back
adria altimira,villarreal,2023-2024,laliga,Right-Back,775.0,11.0,10.0,2000000.0,0.23617568464762403,0.0441,0.19207568464762403,Right-Back
dodo,fiorentina,2023-2024,serie-a,Right-Back,523.0,9.0,7.0,17000000.0,0.28564451479715786,0.030900000000000004,0.2547445147971579,Right-Back
matty cash,aston villa,2023-2024,premier-league,Right-Back,2142.0,29.0,23.0,28000000.0,0.3384708405861103,0.0442,0.2942708405861103,Right-Back
robert gumny,augsburg,2023-2024,bundesliga,Right-Back,481.0,13.0,6.0,2000000.0,0.23436889691707183,0.0599,0.17446889691707182,Right-Back
bouna sarr,bayern munich,2023-2024,bundesliga,Right-Back,106.0,2.0,1.0,1500000.0,0.24644441856223137,0.017,0.22944441856223136,Right-Back
ridle baku,wolfsburg,2023-2024,bundesliga,Right-Back,2013.0,33.0,22.0,7000000.0,0.326013999525127,0.0574,0.268613999525127,Right-Back
vladimir coufal,west ham,2023-2024,premier-league,Right-Back,3132.0,36.0,36.0,8000000.0,0.37431269002084727,0.033600000000000005,0.34071269002084725,Right-Back
inigo arguibide,osasuna,2023-2024,laliga,Right-Back,17.0,1.0,0.0,150000.0,0.12092541540044234,0.1058,0.015125415400442335,Right-Back
alessandro zanoli,napoli,2023-2024,serie-a,Right-Back,52.0,4.0,0.0,5000000.0,0.3354163421534006,0.1384,0.1970163421534006,Right-Back
ben white,arsenal,2023-2024,premier-league,Right-Back,2988.0,37.0,35.0,55000000.0,0.3401582660173233,0.0276,0.3125582660173233,Right-Back
andres garcia,aston villa,2024-2025,premier-league,Right-Back,318.0,7.0,5.0,7000000.0,0.2622772348549912,0.0936,0.1686772348549912,Right-Back
matty cash,aston villa,2024-2025,premier-league,Right-Back,2070.0,27.0,24.0,25000000.0,0.22563136804895714,0.042499999999999996,0.18313136804895713,Right-Back
lorenzo aguado,real madrid,2024-2025,laliga,Right-Back,5.0,2.0,0.0,100000.0,0.1213239101557498,0.36,-0.2386760898442502,Right-Back
josip stanisic,bayern munich,2024-2025,bundesliga,Right-Back,876.0,14.0,9.0,32000000.0,0.2454146411356063,0.0308,0.2146146411356063,Right-Back
kosta nedeljkovic,aston villa,2024-2025,premier-league,Right-Back,126.0,5.0,0.0,10000000.0,0.08657758131224082,0.0070999999999999995,0.07947758131224082,Right-Back
nathaniel clyne,crystal palace,2024-2025,premier-league,Right-Back,483.0,13.0,5.0,1000000.0,0.11406222629357464,0.0356,0.07846222629357463,Right-Back
michael kayode,brentford,2024-2025,premier-league,Right-Back,528.0,12.0,6.0,18000000.0,0.18962569018472294,0.0562,0.13342569018472294,Right-Back
nathan patterson,everton,2024-2025,premier-league,Right-Back,347.0,10.0,3.0,15000000.0,0.15841967845756633,0.0442,0.11421967845756632,Right-Back
saud abdulhamid,roma,2024-2025,serie-a,Right-Back,205.0,4.0,2.0,3000000.0,0.16450865156913347,0.0396,0.12490865156913347,Right-Back
reece james,chelsea,2024-2025,premier-league,Right-Back,1063.0,19.0,12.0,30000000.0,0.20503055152066743,0.0473,0.15773055152066742,Right-Back
kieran trippier,newcastle utd,2024-2025,premier-league,Right-Back,1309.0,25.0,14.0,4000000.0,0.2689490082201979,0.031700000000000006,0.2372490082201979,Right-Back
angel ortiz,betis,2024-2025,laliga,Right-Back,353.0,5.0,4.0,2500000.0,0.20542133125951695,0.043300000000000005,0.16212133125951694,Right-Back
thierry correia,valencia,2024-2025,laliga,Right-Back,768.0,11.0,9.0,3000000.0,0.2038589194065056,0.0411,0.1627589194065056,Right-Back
javier manquillo,celta vigo,2024-2025,laliga,Right-Back,515.0,10.0,7.0,1000000.0,0.1466415164743607,0.022500000000000003,0.12414151647436068,Right-Back
ruben pena,osasuna,2024-2025,laliga,Right-Back,775.0,25.0,7.0,1200000.0,0.1773660717843874,0.07429999999999999,0.10306607178438741,Right-Back
martin hongla,hellas verona,2022-2023,serie-a,Defensive Midfield,523.0,9.0,6.0,3000000.0,0.16308490348137,0.05689999999999999,0.10618490348137001,Defensive Midfield
george abbott,tottenham,2022-2023,premier-league,Defensive Midfield,1.0,1.0,0.0,,0.17649623526676866,0.0,0.17649623526676866,Defensive Midfield
anton stach,mainz 05,2022-2023,bundesliga,Defensive Midfield,2070.0,30.0,22.0,15000000.0,0.21781463123487815,0.049999999999999996,0.16781463123487816,Defensive Midfield
amadou onana,everton,2022-2023,premier-league,Defensive Midfield,2488.0,33.0,29.0,45000000.0,0.23801253022152188,0.055700000000000006,0.18231253022152188,Defensive Midfield
mato jajalo,udinese,2022-2023,serie-a,Defensive Midfield,63.0,3.0,0.0,250000.0,0.14823400476032392,0.0286,0.11963400476032392,Defensive Midfield
michele castagnetti,cremonese,2022-2023,serie-a,Defensive Midfield,1412.0,27.0,14.0,700000.0,0.223885050144453,0.027500000000000004,0.196385050144453,Defensive Midfield
sergio busquets,barcelona,2022-2023,laliga,Defensive Midfield,2339.0,30.0,28.0,5000000.0,0.3789682683244259,0.045700000000000005,0.3332682683244259,Defensive Midfield
niklas tauer,mainz 05,2022-2023,bundesliga,Defensive Midfield,93.0,3.0,0.0,1200000.0,0.1948988125113237,0.0388,0.1560988125113237,Defensive Midfield
iker munoz,osasuna,2022-2023,laliga,Defensive Midfield,254.0,8.0,2.0,500000.0,0.14432760095678815,0.0354,0.10892760095678815,Defensive Midfield
ismael bennacer,milan,2022-2023,serie-a,Defensive Midfield,2007.0,28.0,24.0,40000000.0,0.3250263206965856,0.0641,0.2609263206965856,Defensive Midfield
flynn downes,west ham,2022-2023,premier-league,Defensive Midfield,762.0,21.0,7.0,9000000.0,0.1509787089129869,0.043800000000000006,0.10717870891298689,Defensive Midfield
pape gueye,sevilla,2022-2023,laliga,Defensive Midfield,1171.0,16.0,15.0,10000000.0,0.21063483374548939,0.0915,0.11913483374548939,Defensive Midfield
diego demme,napoli,2022-2023,serie-a,Defensive Midfield,146.0,7.0,2.0,3000000.0,0.23944771792244224,0.0432,0.19624771792244222,Defensive Midfield
stanislav lobotka,napoli,2022-2023,serie-a,Defensive Midfield,3101.0,38.0,34.0,40000000.0,0.3920355626989784,0.0256,0.36643556269897837,Defensive Midfield
samuele ricci,torino,2023-2024,serie-a,Defensive Midfield,2395.0,32.0,28.0,22000000.0,0.15033240041352414,0.0434,0.10693240041352414,Defensive Midfield
marten de roon,atalanta,2023-2024,serie-a,Defensive Midfield,2599.0,30.0,29.0,7000000.0,0.21348839138879144,0.0376,0.17588839138879145,Defensive Midfield
nicolai rapp,werder bremen,2023-2024,bundesliga,Defensive Midfield,76.0,2.0,1.0,700000.0,0.14194997929351613,0.0945,0.04744997929351613,Defensive Midfield
jack cork,burnley,2023-2024,premier-league,Defensive Midfield,27.0,4.0,0.0,800000.0,0.173620892407618,0.1333,0.04032089240761799,Defensive Midfield
kofi amoako,wolfsburg,2023-2024,bundesliga,Defensive Midfield,2.0,2.0,0.0,400000.0,0.0067225,0.0,0.0067225,Defensive Midfield
stefan bajcetic,liverpool,2023-2024,premier-league,Defensive Midfield,26.0,1.0,0.0,11000000.0,0.05156898234932094,0.0346,0.01696898234932094,Defensive Midfield
