Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
nicola zalewski,Inter,205,83.7,122,91.0,81,84.0,24,70.8,1.7,1.8,-0.7,11,11,6,2024-2025,serie-a
andrefrank zambo anguissa,Napoli,1275,84.5,792,89.1,532,87.8,93,71.0,2.4,2.6,1.6,128,21,2,2024-2025,serie-a
francesco zampano,Venezia,416,73.2,255,87.1,215,72.1,60,50.0,0.8,0.7,1.2,26,17,6,2024-2025,serie-a
nicolo zaniolo,Fiorentina,52,70.3,29,82.8,30,73.3,6,66.7,0.2,0.2,-0.2,4,1,0,2024-2025,serie-a
nicolo zaniolo,Atalanta,85,83.3,58,91.4,33,75.8,6,50.0,0.5,0.6,1.5,5,5,0,2024-2025,serie-a
alessandro zanoli,Genoa,339,66.9,213,82.2,186,69.4,56,41.1,1.6,1.1,-1.6,10,21,13,2024-2025,serie-a
duvan zapata,Torino,87,69.0,75,69.3,25,72.0,11,81.8,0.5,0.5,-0.5,4,4,1,2024-2025,serie-a
gabriele zappa,Cagliari,1318,76.5,702,88.7,722,80.5,216,44.0,3.6,3.3,-3.6,126,24,15,2024-2025,serie-a
davide zappacosta,Atalanta,986,82.7,579,92.2,453,82.1,104,54.8,2.1,3.0,-0.1,60,37,23,2024-2025,serie-a
oier zarraga,Udinese,238,82.4,138,92.0,103,86.4,31,54.8,0.4,0.6,-0.4,27,8,5,2024-2025,serie-a
jordan zemura,Udinese,475,76.5,284,91.9,230,75.7,72,43.1,1.0,1.4,1.0,24,15,9,2024-2025,serie-a
alessio zerbin,Venezia,400,65.4,243,81.5,229,69.9,85,35.3,2.1,2.3,-1.1,26,21,10,2024-2025,serie-a
alessio zerbin,Napoli,0,,0,,0,,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
kevin zeroli,Monza,71,74.0,51,82.4,34,73.5,5,60.0,0.5,0.0,0.5,6,0,0,2024-2025,serie-a
kevin zeroli,Milan,9,100.0,5,100.0,4,100.0,0,,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
piotr zielinski,Inter,636,89.5,354,96.6,275,90.5,59,57.6,0.9,1.0,1.1,77,6,0,2024-2025,serie-a
nadir zortea,Cagliari,557,67.4,372,80.6,269,71.0,110,45.5,2.4,2.2,-0.4,42,31,21,2024-2025,serie-a
szymon zurkowski,Empoli,27,81.8,15,100.0,10,90.0,2,0.0,0.0,0.0,0.0,0,1,0,2024-2025,serie-a
milan uric,Monza,131,49.2,154,51.9,72,43.1,3,100.0,1.1,0.2,-0.1,16,2,0,2024-2025,serie-a
milan uric,Parma,35,41.7,48,45.8,19,36.8,3,33.3,0.0,0.1,0.0,3,3,0,2024-2025,serie-a
