Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
bonke innocent,Lorient,38,0,0,77,31.0,2022-2023,ligue-1
ismaily,Lille,14,2,15,112,62.1,2022-2023,ligue-1
junya ito,Reims,20,31,198,131,52.7,2022-2023,ligue-1
ismail jakobs,Monaco,14,1,61,46,65.8,2022-2023,ligue-1
marin jakolis,Angers,1,0,2,1,0.0,2022-2023,ligue-1
leo jardim,Lille,1,0,0,7,100.0,2022-2023,ligue-1
luis javier suarez,Marseille,6,0,0,5,26.1,2022-2023,ligue-1
dany jean,Strasbourg,0,0,0,1,0.0,2022-2023,ligue-1
julian jeanvier,Auxerre,25,0,2,82,48.0,2022-2023,ligue-1
jeffinho,Lyon,8,0,3,21,33.3,2022-2023,ligue-1
paul joly,Auxerre,7,0,36,83,35.3,2022-2023,ligue-1
jubal,Auxerre,38,4,4,178,57.6,2022-2023,ligue-1
christopher jullien,Montpellier,33,3,0,141,68.3,2022-2023,ligue-1
eli junior kroupi,Lorient,0,0,0,0,,2022-2023,ligue-1
issa kabore,Marseille,24,2,48,62,30.0,2022-2023,ligue-1
abdoul kader bamba,Nantes,3,1,3,5,100.0,2022-2023,ligue-1
gael kakuta,Lens,0,0,1,1,100.0,2022-2023,ligue-1
arnaud kalimuendo,Rennes,15,7,14,53,16.5,2022-2023,ligue-1
gedeon kalulu,Lorient,30,2,29,165,52.8,2022-2023,ligue-1
justinnoel kalumba,Angers,3,0,13,25,0.0,2022-2023,ligue-1
warren kamanzi,Toulouse,7,0,6,47,33.3,2022-2023,ligue-1
bingourou kamara,Montpellier,1,0,0,4,100.0,2022-2023,ligue-1
nordine kandil,Strasbourg,1,0,4,15,100.0,2022-2023,ligue-1
ayman kari,Lorient,1,1,0,12,50.0,2022-2023,ligue-1
kevin keben biakolo,Toulouse,2,0,6,26,27.3,2022-2023,ligue-1
check keita,Reims,7,1,0,38,42.9,2022-2023,ligue-1
saifeddine khaoui,Clermont Foot,25,7,56,123,50.0,2022-2023,ligue-1
wahbi khazri,Montpellier,20,13,39,85,36.7,2022-2023,ligue-1
anthony khelifa,Ajaccio,0,0,0,2,,2022-2023,ligue-1
presnel kimpembe,Paris S-G,22,1,0,38,61.9,2022-2023,ligue-1
samuel koeberle,Reims,0,0,1,2,,2022-2023,ligue-1
rudy kohon,Troyes,0,0,0,3,,2022-2023,ligue-1
sead kolasinac,Marseille,42,4,20,165,49.3,2022-2023,ligue-1
cheick konate,Clermont Foot,9,0,4,42,37.5,2022-2023,ligue-1
ibrahima kone,Lorient,29,14,1,44,47.8,2022-2023,ligue-1
youssouf kone,Ajaccio,15,0,27,67,25.0,2022-2023,ligue-1
rominigue kouame,Troyes,52,0,5,229,50.0,2022-2023,ligue-1
boubakar kouyate,Montpellier,21,0,1,74,63.2,2022-2023,ligue-1
sael kumbedi,Lyon,37,4,32,94,19.4,2022-2023,ligue-1
grejohn kyei,Clermont Foot,58,15,7,51,42.5,2022-2023,ligue-1
remy labeau lascary,Lens,4,0,3,5,50.0,2022-2023,ligue-1
gaetan laborde,Nice,26,7,71,101,46.2,2022-2023,ligue-1
gaetan laborde,Rennes,0,0,3,7,40.0,2022-2023,ligue-1
