Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
jonathan david,lille,Ligue-1,2024-2025,56,396,507,145,945,42,0.47600000000000003,20,0.47600000000000003,1154,25,20,68,40
zuriko davitashvili,saintetienne,Ligue-1,2024-2025,138,478,710,123,1296,123,0.374,71,0.5770000000000001,2388,56,47,74,57
theo de percin,auxerre,Ligue-1,2024-2025,66,2,0,0,68,0,,0,,118,0,0,0,0
thibault de smet,reims,Ligue-1,2024-2025,79,62,6,1,146,1,0.0,1,1.0,212,0,0,2,0
amar dedic,marseille,Ligue-1,2024-2025,41,104,141,17,282,19,0.474,10,0.526,748,12,5,8,8
romain del castillo,brest,Ligue-1,2024-2025,69,392,393,41,836,44,0.43200000000000005,25,0.568,951,26,7,36,17
thomas delaine,strasbourg,Ligue-1,2024-2025,5,2,1,0,8,0,,0,,5,1,0,0,0
andy delort,montpellier,Ligue-1,2024-2025,12,69,91,24,171,5,0.6,2,0.4,172,2,2,16,8
ousmane dembele,paris sg,Ligue-1,2024-2025,47,481,805,161,1322,95,0.442,51,0.537,3446,87,66,41,32
remy descamps,lyon,Ligue-1,2024-2025,32,2,0,0,34,0,,0,,54,0,0,0,0
arthur desmas,le havre,Ligue-1,2024-2025,556,5,0,0,561,0,,0,,1078,0,0,2,0
mamadou diakhon,reims,Ligue-1,2024-2025,42,137,217,46,379,61,0.41,31,0.508,1568,37,32,29,13
bafode diakite,lille,Ligue-1,2024-2025,973,1416,92,21,2475,9,1.0,0,0.0,4516,15,0,13,6
oumar diakite,reims,Ligue-1,2024-2025,73,282,239,57,579,57,0.35100000000000003,35,0.614,728,20,4,64,38
habib diarra,strasbourg,Ligue-1,2024-2025,276,610,342,42,1212,49,0.265,32,0.653,1837,37,12,30,22
krepin diatta,monaco,Ligue-1,2024-2025,72,192,114,9,373,13,0.615,4,0.308,693,13,1,10,2
kandet diawara,le havre,Ligue-1,2024-2025,1,3,0,0,4,0,,0,,0,0,0,0,2
mahamadou diawara,le havre,Ligue-1,2024-2025,85,159,84,11,321,13,0.462,5,0.385,502,5,0,8,7
mahamadou diawara,lyon,Ligue-1,2024-2025,0,8,2,1,9,0,,0,,28,1,0,0,1
bamba dieng,angers,Ligue-1,2024-2025,14,58,86,24,156,14,0.14300000000000002,11,0.7859999999999999,194,5,3,11,10
kembo diliwidi,lens,Ligue-1,2024-2025,0,1,3,1,4,1,0.0,1,1.0,0,0,0,0,0
sinaly diomande,auxerre,Ligue-1,2024-2025,651,521,56,12,1223,14,0.5710000000000001,4,0.28600000000000003,1679,5,0,12,6
lois diony,angers,Ligue-1,2024-2025,0,1,5,2,6,0,,0,,0,0,0,2,0
serigne diop,brest,Ligue-1,2024-2025,0,5,1,0,6,0,,0,,0,0,0,2,0
sofiane diop,nice,Ligue-1,2024-2025,101,347,277,35,714,31,0.32299999999999995,20,0.645,944,19,4,20,18
