Player,Liga,Season,Pos,Squad,Height,Value
ollie watkins,Premier-League,2024-2025,Centre-Forward,aston villa,1.8,40000000.0
jhon duran,Premier-League,2024-2025,Centre-Forward,aston villa,1.85,35000000.0
kobei moore,Premier-League,2024-2025,Centre-Forward,aston villa,1.85,
nick pope,Premier-League,2024-2025,Goalkeeper,newcastle united,1.98,8000000.0
odysseas vlachodimos,Premier-League,2024-2025,Goalkeeper,newcastle united,1.91,5000000.0
martin dubravka,Premier-League,2024-2025,Goalkeeper,newcastle united,1.91,1000000.0
mark gillespie,Premier-League,2024-2025,Goalkeeper,newcastle united,1.91,200000.0
john ruddy,Premier-League,2024-2025,Goalkeeper,newcastle united,1.92,150000.0
sven botman,Premier-League,2024-2025,Centre-Back,newcastle united,1.93,42000000.0
lloyd kelly,Premier-League,2024-2025,Centre-Back,newcastle united,1.89,16000000.0
fabian schar,Premier-League,2024-2025,Centre-Back,newcastle united,1.86,7000000.0
dan burn,Premier-League,2024-2025,Centre-Back,newcastle united,2.01,6000000.0
jamaal lascelles,Premier-League,2024-2025,Centre-Back,newcastle united,1.88,4000000.0
lewis hall,Premier-League,2024-2025,Left-Back,newcastle united,1.79,32000000.0
matt targett,Premier-League,2024-2025,Left-Back,newcastle united,1.83,5000000.0
jamal lewis,Premier-League,2024-2025,Left-Back,newcastle united,1.78,2500000.0
alex murphy,Premier-League,2024-2025,Left-Back,newcastle united,1.88,300000.0
tino livramento,Premier-League,2024-2025,Right-Back,newcastle united,1.82,40000000.0
kieran trippier,Premier-League,2024-2025,Right-Back,newcastle united,1.73,4000000.0
emil krafth,Premier-League,2024-2025,Right-Back,newcastle united,1.84,2000000.0
harrison ashby,Premier-League,2024-2025,Right-Back,newcastle united,1.79,1400000.0
leo shahar,Premier-League,2024-2025,Right-Back,newcastle united,,
bruno guimaraes,Premier-League,2024-2025,Defensive Midfield,newcastle united,1.82,80000000.0
isaac hayden,Premier-League,2024-2025,Defensive Midfield,newcastle united,1.87,700000.0
sandro tonali,Premier-League,2024-2025,Central Midfield,newcastle united,1.81,60000000.0
joelinton,Premier-League,2024-2025,Central Midfield,newcastle united,1.86,35000000.0
joe willock,Premier-League,2024-2025,Central Midfield,newcastle united,1.86,22000000.0
lewis miley,Premier-League,2024-2025,Central Midfield,newcastle united,1.89,22000000.0
sean longstaff,Premier-League,2024-2025,Central Midfield,newcastle united,1.87,20000000.0
joe white,Premier-League,2024-2025,Attacking Midfield,newcastle united,1.86,275000.0
anthony gordon,Premier-League,2024-2025,Left Winger,newcastle united,1.83,65000000.0
harvey barnes,Premier-League,2024-2025,Left Winger,newcastle united,1.82,35000000.0
trevan sanusi,Premier-League,2024-2025,Left Winger,newcastle united,,
jacob murphy,Premier-League,2024-2025,Right Winger,newcastle united,1.79,16000000.0
miguel almiron,Premier-League,2024-2025,Right Winger,newcastle united,1.74,10000000.0
alexander isak,Premier-League,2024-2025,Centre-Forward,newcastle united,1.92,120000000.0
callum wilson,Premier-League,2024-2025,Centre-Forward,newcastle united,1.8,8000000.0
william osula,Premier-League,2024-2025,Centre-Forward,newcastle united,1.91,7000000.0
sean neave,Premier-League,2024-2025,Centre-Forward,newcastle united,1.84,
bart verbruggen,Premier-League,2024-2025,Goalkeeper,brighton hove albion,1.94,30000000.0
carl rushworth,Premier-League,2024-2025,Goalkeeper,brighton hove albion,1.91,3000000.0
jason steele,Premier-League,2024-2025,Goalkeeper,brighton hove albion,1.88,1500000.0
tom mcgill,Premier-League,2024-2025,Goalkeeper,brighton hove albion,1.85,600000.0
killian cahill,Premier-League,2024-2025,Goalkeeper,brighton hove albion,1.82,150000.0
jan paul van hecke,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.89,32000000.0
igor julio,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.88,20000000.0
adam webster,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.9,11000000.0
eiran cashin,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.84,8000000.0
lewis dunk,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.92,6000000.0
ruairi mcconville,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.93,1800000.0
ed turns,Premier-League,2024-2025,Centre-Back,brighton hove albion,1.86,350000.0
freddie simmonds,Premier-League,2024-2025,Centre-Back,brighton hove albion,,
pervis estupinan,Premier-League,2024-2025,Left-Back,brighton hove albion,1.75,30000000.0
ferdi kadoglu,Premier-League,2024-2025,Left-Back,brighton hove albion,1.74,25000000.0
jacob slater,Premier-League,2024-2025,Left-Back,brighton hove albion,,200000.0
imari samuels,Premier-League,2024-2025,Left-Back,brighton hove albion,1.87,100000.0
tariq lamptey,Premier-League,2024-2025,Right-Back,brighton hove albion,1.63,11000000.0
joel veltman,Premier-League,2024-2025,Right-Back,brighton hove albion,1.84,4000000.0
odeluga offiah,Premier-League,2024-2025,Right-Back,brighton hove albion,1.87,600000.0
charlie tasker,Premier-League,2024-2025,Right-Back,brighton hove albion,,200000.0
carlos baleba,Premier-League,2024-2025,Defensive Midfield,brighton hove albion,1.79,40000000.0
mats wieffer,Premier-League,2024-2025,Defensive Midfield,brighton hove albion,1.88,25000000.0
jack hinshelwood,Premier-League,2024-2025,Defensive Midfield,brighton hove albion,1.82,24000000.0
billy gilmour,Premier-League,2024-2025,Defensive Midfield,brighton hove albion,1.7,20000000.0
yasin ayari,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.72,22000000.0
matt oriley,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.89,22000000.0
malick yalcouye,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.69,17000000.0
diego gomez,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.85,14000000.0
jakub moder,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.91,12000000.0
valentin barco,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.7,12000000.0
james milner,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.75,1000000.0
jensen weir,Premier-League,2024-2025,Central Midfield,brighton hove albion,1.84,350000.0
joe knight,Premier-League,2024-2025,Central Midfield,brighton hove albion,,
julio enciso,Premier-League,2024-2025,Attacking Midfield,brighton hove albion,1.73,22000000.0
harry howell,Premier-League,2024-2025,Attacking Midfield,brighton hove albion,,
kaoru mitoma,Premier-League,2024-2025,Left Winger,brighton hove albion,1.78,40000000.0
simon adingra,Premier-League,2024-2025,Left Winger,brighton hove albion,1.75,28000000.0
jeremy sarmiento,Premier-League,2024-2025,Left Winger,brighton hove albion,1.78,7000000.0
cameron peupion,Premier-League,2024-2025,Left Winger,brighton hove albion,1.75,225000.0
yankuba minteh,Premier-League,2024-2025,Right Winger,brighton hove albion,1.8,30000000.0
brajan gruda,Premier-League,2024-2025,Right Winger,brighton hove albion,1.78,25000000.0
solly march,Premier-League,2024-2025,Right Winger,brighton hove albion,1.8,6000000.0
amario cozierduberry,Premier-League,2024-2025,Right Winger,brighton hove albion,1.7,2000000.0
joao pedro,Premier-League,2024-2025,Centre-Forward,brighton hove albion,1.82,50000000.0
georginio rutter,Premier-League,2024-2025,Centre-Forward,brighton hove albion,1.82,32000000.0
evan ferguson,Premier-League,2024-2025,Centre-Forward,brighton hove albion,1.88,25000000.0
danny welbeck,Premier-League,2024-2025,Centre-Forward,brighton hove albion,1.85,5000000.0
mark omahony,Premier-League,2024-2025,Centre-Forward,brighton hove albion,1.82,500000.0
dean henderson,Premier-League,2024-2025,Goalkeeper,crystal palace,1.88,20000000.0
sam johnstone,Premier-League,2024-2025,Goalkeeper,crystal palace,1.93,6000000.0
matt turner,Premier-League,2024-2025,Goalkeeper,crystal palace,1.91,2500000.0
joe whitworth,Premier-League,2024-2025,Goalkeeper,crystal palace,1.79,1700000.0
remi matthews,Premier-League,2024-2025,Goalkeeper,crystal palace,1.92,400000.0
marc guehi,Premier-League,2024-2025,Centre-Back,crystal palace,1.82,45000000.0
joachim andersen,Premier-League,2024-2025,Centre-Back,crystal palace,1.92,27000000.0
trevoh chalobah,Premier-League,2024-2025,Centre-Back,crystal palace,1.92,25000000.0
maxence lacroix,Premier-League,2024-2025,Centre-Back,crystal palace,1.9,25000000.0
chadi riad,Premier-League,2024-2025,Centre-Back,crystal palace,1.87,15000000.0
chris richards,Premier-League,2024-2025,Centre-Back,crystal palace,1.88,14000000.0
rob holding,Premier-League,2024-2025,Centre-Back,crystal palace,1.89,3500000.0
tyrick mitchell,Premier-League,2024-2025,Left-Back,crystal palace,1.81,25000000.0
ben chilwell,Premier-League,2024-2025,Left-Back,crystal palace,1.8,15000000.0
daniel munoz,Premier-League,2024-2025,Right-Back,crystal palace,1.81,25000000.0
nathaniel clyne,Premier-League,2024-2025,Right-Back,crystal palace,1.75,1000000.0
caleb kporha,Premier-League,2024-2025,Right-Back,crystal palace,,1000000.0
joel ward,Premier-League,2024-2025,Right-Back,crystal palace,1.86,500000.0
adam wharton,Premier-League,2024-2025,Defensive Midfield,crystal palace,1.82,45000000.0
cheick doucoure,Premier-League,2024-2025,Defensive Midfield,crystal palace,1.8,25000000.0
jefferson lerma,Premier-League,2024-2025,Defensive Midfield,crystal palace,1.79,10000000.0
david ozoh,Premier-League,2024-2025,Defensive Midfield,crystal palace,1.89,700000.0
kaden rodney,Premier-League,2024-2025,Defensive Midfield,crystal palace,1.89,200000.0
will hughes,Premier-League,2024-2025,Central Midfield,crystal palace,1.85,7000000.0
naouirou ahamada,Premier-League,2024-2025,Central Midfield,crystal palace,1.83,3500000.0
jeffrey schlupp,Premier-League,2024-2025,Left Midfield,crystal palace,1.78,3000000.0
eberechi eze,Premier-League,2024-2025,Attacking Midfield,crystal palace,1.78,55000000.0
daichi kamada,Premier-League,2024-2025,Attacking Midfield,crystal palace,1.8,12000000.0
matheus franca,Premier-League,2024-2025,Attacking Midfield,crystal palace,1.84,10000000.0
justin devenny,Premier-League,2024-2025,Attacking Midfield,crystal palace,1.84,6000000.0
asher agbinone,Premier-League,2024-2025,Left Winger,crystal palace,1.78,75000.0
ismaila sarr,Premier-League,2024-2025,Right Winger,crystal palace,1.85,25000000.0
romain esse,Premier-League,2024-2025,Right Winger,crystal palace,1.78,12000000.0
malcolm ebiowei,Premier-League,2024-2025,Right Winger,crystal palace,1.85,1200000.0
franco umehchibueze,Premier-League,2024-2025,Right Winger,crystal palace,,75000.0
jeanphilippe mateta,Premier-League,2024-2025,Centre-Forward,crystal palace,1.92,30000000.0
eddie nketiah,Premier-League,2024-2025,Centre-Forward,crystal palace,1.75,18000000.0
odsonne edouard,Premier-League,2024-2025,Centre-Forward,crystal palace,1.87,8000000.0
jordan ayew,Premier-League,2024-2025,Centre-Forward,crystal palace,1.82,2500000.0
zach marsh,Premier-League,2024-2025,Centre-Forward,crystal palace,,
kepa arrizabalaga,Premier-League,2024-2025,Goalkeeper,afc bournemouth,1.88,10000000.0
mark travers,Premier-League,2024-2025,Goalkeeper,afc bournemouth,1.91,4000000.0
neto,Premier-League,2024-2025,Goalkeeper,afc bournemouth,1.9,1500000.0
callan mckenna,Premier-League,2024-2025,Goalkeeper,afc bournemouth,1.88,600000.0
will dennis,Premier-League,2024-2025,Goalkeeper,afc bournemouth,1.88,350000.0
dean huijsen,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.97,60000000.0
ilya zabarnyi,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.89,42000000.0
marcos senesi,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.85,22000000.0
chris mepham,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.9,6000000.0
james hill,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.84,3000000.0
matai akinmboni,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.88,1000000.0
max kinsey,Premier-League,2024-2025,Centre-Back,afc bournemouth,1.84,
milos kerkez,Premier-League,2024-2025,Left-Back,afc bournemouth,1.8,45000000.0
julio soler,Premier-League,2024-2025,Left-Back,afc bournemouth,1.75,8000000.0
archie harris,Premier-League,2024-2025,Left-Back,afc bournemouth,,100000.0
julian araujo,Premier-League,2024-2025,Right-Back,afc bournemouth,1.76,10000000.0
max aarons,Premier-League,2024-2025,Right-Back,afc bournemouth,1.77,6000000.0
adam smith,Premier-League,2024-2025,Right-Back,afc bournemouth,1.74,750000.0
tyler adams,Premier-League,2024-2025,Defensive Midfield,afc bournemouth,1.75,18000000.0
ben winterburn,Premier-League,2024-2025,Defensive Midfield,afc bournemouth,1.85,500000.0
alex scott,Premier-League,2024-2025,Central Midfield,afc bournemouth,1.78,20000000.0
lewis cook,Premier-League,2024-2025,Central Midfield,afc bournemouth,1.75,15000000.0
philip billing,Premier-League,2024-2025,Central Midfield,afc bournemouth,1.93,10000000.0
ryan christie,Premier-League,2024-2025,Central Midfield,afc bournemouth,1.78,10000000.0
marcus tavernier,Premier-League,2024-2025,Left Midfield,afc bournemouth,1.78,18000000.0
justin kluivert,Premier-League,2024-2025,Attacking Midfield,afc bournemouth,1.72,35000000.0
dango ouattara,Premier-League,2024-2025,Left Winger,afc bournemouth,1.77,28000000.0
hamed traore,Premier-League,2024-2025,Left Winger,afc bournemouth,1.77,20000000.0
luis sinisterra,Premier-League,2024-2025,Left Winger,afc bournemouth,1.72,15000000.0
jaidon anthony,Premier-League,2024-2025,Left Winger,afc bournemouth,1.83,9000000.0
zain silcottduberry,Premier-League,2024-2025,Left Winger,afc bournemouth,1.77,200000.0
antoine semenyo,Premier-League,2024-2025,Right Winger,afc bournemouth,1.85,40000000.0
david brooks,Premier-League,2024-2025,Right Winger,afc bournemouth,1.73,10000000.0
dominic sadi,Premier-League,2024-2025,Right Winger,afc bournemouth,1.74,150000.0
evanilson,Premier-League,2024-2025,Centre-Forward,afc bournemouth,1.83,35000000.0
enes unal,Premier-League,2024-2025,Centre-Forward,afc bournemouth,1.87,10000000.0
daniel jebbison,Premier-League,2024-2025,Centre-Forward,afc bournemouth,1.9,4000000.0
remy reesdottin,Premier-League,2024-2025,Centre-Forward,afc bournemouth,1.74,300000.0
daniel aduadjei,Premier-League,2024-2025,Centre-Forward,afc bournemouth,,150000.0
matz sels,Premier-League,2024-2025,Goalkeeper,nottingham forest,1.88,7000000.0
carlos miguel,Premier-League,2024-2025,Goalkeeper,nottingham forest,2.04,4000000.0
matt turner,Premier-League,2024-2025,Goalkeeper,nottingham forest,1.91,2500000.0
wayne hennessey,Premier-League,2024-2025,Goalkeeper,nottingham forest,1.98,150000.0
murillo,Premier-League,2024-2025,Centre-Back,nottingham forest,1.8,55000000.0
nikola milenkovic,Premier-League,2024-2025,Centre-Back,nottingham forest,1.95,35000000.0
morato,Premier-League,2024-2025,Centre-Back,nottingham forest,1.92,14000000.0
andrew omobamidele,Premier-League,2024-2025,Centre-Back,nottingham forest,1.88,8000000.0
willy boly,Premier-League,2024-2025,Centre-Back,nottingham forest,1.95,1500000.0
tyler bindon,Premier-League,2024-2025,Centre-Back,nottingham forest,1.88,1200000.0
zach abbott,Premier-League,2024-2025,Centre-Back,nottingham forest,1.8,300000.0
neco williams,Premier-League,2024-2025,Left-Back,nottingham forest,1.83,20000000.0
alex moreno,Premier-League,2024-2025,Left-Back,nottingham forest,1.79,7000000.0
harry toffolo,Premier-League,2024-2025,Left-Back,nottingham forest,1.83,3000000.0
ola aina,Premier-League,2024-2025,Right-Back,nottingham forest,1.84,22000000.0
eric da silva moreira,Premier-League,2024-2025,Right-Back,nottingham forest,1.85,1000000.0
danilo,Premier-League,2024-2025,Defensive Midfield,nottingham forest,1.77,28000000.0
ibrahim sangare,Premier-League,2024-2025,Defensive Midfield,nottingham forest,1.91,24000000.0
ben perry,Premier-League,2024-2025,Defensive Midfield,nottingham forest,1.83,150000.0
elliot anderson,Premier-League,2024-2025,Central Midfield,nottingham forest,1.79,32000000.0
nicolas dominguez,Premier-League,2024-2025,Central Midfield,nottingham forest,1.79,18000000.0
ryan yates,Premier-League,2024-2025,Central Midfield,nottingham forest,1.9,12000000.0
james wardprowse,Premier-League,2024-2025,Central Midfield,nottingham forest,1.77,8000000.0
lewis obrien,Premier-League,2024-2025,Central Midfield,nottingham forest,1.73,4000000.0
morgan gibbswhite,Premier-League,2024-2025,Attacking Midfield,nottingham forest,1.71,50000000.0
callum hudsonodoi,Premier-League,2024-2025,Left Winger,nottingham forest,1.78,25000000.0
ramon sosa,Premier-League,2024-2025,Left Winger,nottingham forest,1.79,12000000.0
anthony elanga,Premier-League,2024-2025,Right Winger,nottingham forest,1.78,42000000.0
jota silva,Premier-League,2024-2025,Right Winger,nottingham forest,1.79,15000000.0
josh bowler,Premier-League,2024-2025,Right Winger,nottingham forest,1.84,1000000.0
taiwo awoniyi,Premier-League,2024-2025,Centre-Forward,nottingham forest,1.83,16000000.0
chris wood,Premier-League,2024-2025,Centre-Forward,nottingham forest,1.91,10000000.0
emmanuel dennis,Premier-League,2024-2025,Centre-Forward,nottingham forest,1.75,2500000.0
jose sa,Premier-League,2024-2025,Goalkeeper,wolverhampton wanderers,1.92,7000000.0
sam johnstone,Premier-League,2024-2025,Goalkeeper,wolverhampton wanderers,1.93,6000000.0
daniel bentley,Premier-League,2024-2025,Goalkeeper,wolverhampton wanderers,1.93,1500000.0
tom king,Premier-League,2024-2025,Goalkeeper,wolverhampton wanderers,1.94,200000.0
toti,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.87,28000000.0
emmanuel agbadou,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.92,20000000.0
santiago bueno,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.9,10000000.0
nasser djiga,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.92,10000000.0
yerson mosquera,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.88,8000000.0
bastien meupiyou,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.91,2500000.0
craig dawson,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.88,1500000.0
alfie pond,Premier-League,2024-2025,Centre-Back,wolverhampton wanderers,1.91,250000.0
rayan aitnouri,Premier-League,2024-2025,Left-Back,wolverhampton wanderers,1.8,35000000.0
nelson semedo,Premier-League,2024-2025,Right-Back,wolverhampton wanderers,1.77,9000000.0
pedro lima,Premier-League,2024-2025,Right-Back,wolverhampton wanderers,1.74,5000000.0
